,0,1,2
84,TongFu.WZ,22.8762682393,4.04174344161
85,team wwd,19.4709158999,5.86472627715
86,Artyk,17.3490108309,4.79006511695
87,4ASC,24.9819688739,1.60310975972
88,Kaipi,27.7337947495,1.81166620339
89,NEXT.kz,21.0654880576,6.99073517646
90,TB 2,18.0767844524,5.33300589594
91,TongFu,25.9413207457,1.17682752223
92,COOKISS,22.1703894706,6.94484431906
93,Dark Legion,19.7196259966,5.92386997277
94,Rigg3d,21.508884663,6.76589801246
95,mouz 2,28.5804806472,1.88307857925
96,coL,34.479360221,3.81239826231
97,Turtle,21.5414733521,6.77394434547
98,Dignitas,26.9734962603,1.36523219148
99,Zenith,19.3833453915,5.89544226227
100,Energy,21.0914399042,6.65495385682
101,Insight,18.4301212039,5.35860476218
102,MskiX,25.7523953072,3.32353883438
103,Archon,25.2380254445,0.961424160597
104,GOONS,19.3752935076,6.53592476406
105,Zero,26.8755037505,3.19857093976
106,ESD,18.8721248335,5.73123056047
107,PRIES 2,22.1789021959,6.94746912237
108,hehe united,19.6758965545,5.91845321487
109,Aces,26.802600578,3.530059036
110,aAa,21.1153571063,6.66083723909
111,4H,19.9164955499,5.97282772518
112,The Retry,21.2976742514,6.72394257815
113,ATN,25.0044897172,2.04447793832
114,paiN.int,19.4264418145,5.84642691933
115,Nb,28.8823484198,0.823044108536
116,DOG,27.4182925171,3.24522506061
117,BANearth,22.111539082,6.9279479327
118,FF,27.6014431497,2.17972248456
119,ScT,24.2649874141,4.22586021002
120,DTS2010,19.7065749311,5.9205532487
121,ISG,19.8723510647,5.96762229398
122,iDeal 2,19.427432199,5.700147333
123,DK,26.194586247,1.35672124836
124,TBE 2,20.2491023595,6.05759406191
125,Elements,28.0666780764,3.40489619542
126,RP 2,19.6492950737,5.91190880966
127,Relax,20.5916194871,6.15211162874
128,iCCup,35.0555554524,5.10147477021
129,SwG,21.2381208028,6.69067970165
130,EP,22.4918351538,2.23007116421
131,HR,29.7516543368,1.78847182248
132,C9,29.7035815359,0.868585046205
133,VP 2,32.3290681569,0.798632816277
134,Basically,26.7710914157,4.17470255249
135,FTFC,29.6451980236,5.07551550821
136,Wings,25.9163719686,1.76525984604
137,WG 2,20.8158497496,6.21635992818
138,Liquid,31.8054458122,0.830233396604
139,CDEC,30.4423644372,0.812052898306
140,Molotov,19.7406330686,5.93271148642
141,CLG,26.8323856813,3.14384868536
142,BBC,20.1863166306,6.47289712559
143,XctN 2,16.42916483,4.24609281314
144,Bheart,23.8024355051,2.6439433876
145,MYM 2,18.3668032965,5.11164204249
146,uG,25.4423537312,3.58885072132
147,nt123,24.1779526789,3.89666410441
148,Psst,21.0954756461,6.6553931066
149,Lv,36.182567386,4.97642662173
150,Osiris,21.577699889,6.77824235745
151,EHOME.K 2,27.3359761715,4.97285863337
152,Linkens,19.7424448364,5.92981685832
