,hero_id,General Rate,Early,Mid,Late
62,62.0,0.440828402367,0.40625,0.465517241379,0.444444444444
63,63.0,0.479532163743,0.530612244898,0.5,0.40350877193
64,64.0,0.509615384615,0.508474576271,0.519480519481,0.5
65,65.0,0.560913705584,0.6,0.487179487179,0.586826347305
66,66.0,0.448763250883,0.353535353535,0.48275862069,0.520833333333
67,67.0,0.504424778761,0.583333333333,0.512195121951,0.446808510638
68,68.0,0.568674698795,0.613861386139,0.541984732824,0.562841530055
69,69.0,0.441509433962,0.436781609195,0.406976744186,0.478260869565
70,70.0,0.433734939759,0.318181818182,0.545454545455,0.392857142857
71,71.0,0.489451476793,0.52027027027,0.534482758621,0.41059602649
72,72.0,0.487889273356,0.44,0.488294314381,0.518950437318
73,73.0,0.516587677725,0.606060606061,0.470588235294,0.483333333333
74,74.0,0.55376344086,0.504132231405,0.5703125,0.581967213115
75,75.0,0.555555555556,0.636363636364,0.564102564103,0.507936507937
76,76.0,0.467741935484,0.454545454545,0.514285714286,0.441176470588
77,77.0,0.445,0.387096774194,0.460317460317,0.48
78,78.0,0.452830188679,0.559322033898,0.402777777778,0.41975308642
79,79.0,0.563573883162,0.545454545455,0.582524271845,0.56
80,80.0,0.52,0.518518518519,0.470588235294,0.584905660377
81,81.0,0.584615384615,0.588235294118,0.5,0.642857142857
82,82.0,0.4375,0.466666666667,0.285714285714,0.5
83,83.0,0.423645320197,0.463768115942,0.327586206897,0.460526315789
84,84.0,0.578512396694,0.555555555556,0.522727272727,0.64
85,85.0,0.456375838926,0.4296875,0.459119496855,0.475
86,86.0,0.491251682369,0.443298969072,0.501960784314,0.511945392491
87,87.0,0.540983606557,0.54954954955,0.550632911392,0.525316455696
88,88.0,0.472103004292,0.402777777778,0.486842105263,0.517647058824
89,89.0,0.504132231405,0.58064516129,0.527027027027,0.443396226415
90,90.0,0.494047619048,0.642857142857,0.464285714286,0.428571428571
91,91.0,0.435129740519,0.365517241379,0.406417112299,0.526627218935
92,92.0,0.421052631579,0.362831858407,0.451327433628,0.440298507463
93,93.0,0.616666666667,0.714285714286,0.637931034483,0.523076923077
94,94.0,0.458333333333,0.333333333333,0.545454545455,0.48
95,95.0,0.538461538462,0.52380952381,0.509803921569,0.571428571429
96,96.0,0.596026490066,0.666666666667,0.563636363636,0.555555555556
97,97.0,0.56043956044,0.604651162791,0.653846153846,0.48275862069
98,98.0,0.504424778761,0.586206896552,0.405405405405,0.531914893617
99,99.0,0.540740740741,0.555555555556,0.546391752577,0.527272727273
100,100.0,0.467224546722,0.484375,0.414634146341,0.501792114695
101,101.0,0.606299212598,0.698412698413,0.594594594595,0.564102564103
102,102.0,0.48623853211,0.446808510638,0.46875,0.566666666667
103,103.0,0.479166666667,0.5,0.481481481481,0.466666666667
104,104.0,0.625,0.545454545455,0.6,0.764705882353
105,105.0,0.388888888889,0.4,0.4,0.375
106,106.0,0.531390134529,0.526315789474,0.538461538462,0.532338308458
107,107.0,0.342592592593,0.352941176471,0.368421052632,0.305555555556
108,108.0,-1.0,-1.0,-1.0,-1.0
109,109.0,0.491228070175,0.578947368421,0.411764705882,0.47619047619
110,110.0,0.570588235294,0.625,0.571428571429,0.530303030303
111,111.0,0.651685393258,0.658536585366,0.736842105263,0.586206896552
112,112.0,0.51867219917,0.526785714286,0.493975903614,0.53431372549
113,113.0,-1.0,-1.0,-1.0,-1.0
114,114.0,-1.0,-1.0,-1.0,-1.0
