,hero_id,General Rate,Early,Mid,Late,Poly1,Poly2,Poly3,Poly4
16,17.0,0.517906336088,0.515463917526,0.521008403361,0.520547945205,-4.84975216198e-13,3.22714280106e-09,-4.13432927638e-06,0.518203853386
17,18.0,0.5,0.542857142857,0.519230769231,0.450980392157,-2.81488891811e-11,8.30174395755e-08,-3.73445037036e-05,0.498869532704
18,19.0,0.489361702128,0.44578313253,0.47,0.545454545455,3.03278711309e-11,-8.93757335174e-08,4.12329413362e-05,0.490428682512
19,20.0,0.469565217391,0.503311258278,0.429530201342,0.475,1.73984307608e-11,-7.50264417228e-08,7.67472946956e-05,0.464984928364
20,21.0,0.596825396825,0.621951219512,0.641666666667,0.530973451327,-4.35440328486e-11,1.42871721086e-07,-9.2327321748e-05,0.598561408255
21,22.0,0.524904214559,0.736842105263,0.544303797468,0.41935483871,-6.29101968307e-11,1.52824016871e-07,4.31727971892e-06,0.513111723552
22,23.0,0.592592592593,0.473684210526,0.5625,0.736842105263,6.91386596749e-11,-1.93969243321e-07,7.40613776227e-05,0.59688540433
23,25.0,0.521148036254,0.537037037037,0.530516431925,0.503496503497,-1.13764325302e-11,3.45084905273e-08,-1.68428242525e-05,0.520844236101
24,26.0,0.506329113924,0.606382978723,0.446153846154,0.497076023392,1.57655496566e-11,-9.17038349821e-08,0.000127057350638,0.496344996292
25,27.0,0.587209302326,0.509803921569,0.636363636364,0.606060606061,-1.0097041402e-11,6.58385362912e-08,-9.54910397895e-05,0.594902114215
26,28.0,0.460490463215,0.48275862069,0.489208633094,0.401785714286,-3.33193884469e-11,1.06357012268e-07,-6.58028991141e-05,0.46142803206
27,29.0,0.42654028436,0.454545454545,0.407894736842,0.425,5.59323348448e-12,-2.99231384969e-08,3.88106077257e-05,0.423630970941
28,30.0,0.533453887884,0.552631578947,0.557291666667,0.495192307692,-2.47187468783e-11,7.94575239352e-08,-4.83807632516e-05,0.534028890198
29,31.0,0.467980295567,0.491525423729,0.428571428571,0.486486486486,2.19673530919e-11,-8.62777195717e-08,7.8776490593e-05,0.463934273725
30,32.0,0.5,0.428571428571,0.8,0.25,-2.10380338308e-10,7.63325008289e-07,-0.000614407415953,0.525085226585
31,33.0,0.447513812155,0.44,0.428571428571,0.470588235294,1.66911293137e-11,-5.59227975188e-08,3.76680761914e-05,0.446640051602
